A O
polymorphic O
bipartite O
motif O
signals O
nuclear O
targeting O
of O
early O
auxin O
- O
inducible O
proteins O
related O
to O
PS B
- I
IAA4 I
from I
pea I
( I
Pisum I
sativum I
) I
. O

Finally O
, O
some O
point O
mutations O
in O
the O
Gag B
- O
Pol B
PR O
domain O
inhibited O
activation O
of O
RT B
in O
trans O
by O
a O
wild O
- O
type O
PR B
, O
suggesting O
that O
the O
correct O
conformation O
of O
the O
PR B
domain O
in O
Gag B
- O
Pol B
is O
prerequisite O
for O
activation O
of O
RT B
. O

Mutations O
in O
the O
nuclear B
gene I
CBP1 I
of I
Saccharomyces I
cerevisiae I
result O
in O
degradation O
of O
mitochondrially B
encoded I
cytochrome I
b I
( O
cob B
) O
RNA O
; O
thus O
, O
the O
cells O
are O
unable O
to O
respire O
. O

Acute O
idiopathic O
thrombocytopenic O
purpura O
presenting O
a O
high O
serum O
level O
of O
immunoglobulin B
E I
and O
eosinophilia O
in O
an O
elderly O
patient O
. O

We O
show O
here O
that O
the O
in O
vitro O
transcription O
extract O
contains O
a O
binding O
activity O
that O
is O
specific O
for O
the O
initiator O
element O
and O
thus O
may O
participate O
in O
recruiting O
RNA B
polymerase I
II I
to O
the O
SL O
RNA O
gene O
promoter O
. O

Factors O
involved O
in O
specific O
transcription O
by O
mammalian O
RNA B
polymerase I
II I
: O
purification O
, O
genetic O
specificity O
, O
and O
TATA O
box O
- O
promoter O
interactions O
of O
TFIID B
. O

In O
co O
- O
transfection O
studies O
, O
an O
AP B
- I
2 I
but O
not O
an O
Egr B
- I
1 I
expression O
vector O
activated O
VPF B
/ O
VEGF B
transcription O
, O
thus O
indicating O
that O
AP B
- I
2 I
protein I
is O
functionally O
important O
in O
TGF B
alpha I
- O
induced O
VPF B
/ O
VEGF B
gene O
expression O
. O

We O
observed O
abundant O
levels O
of O
Rev B
- O
erbA B
alpha I
mRNA O
in O
dividing O
C2C12 O
myoblasts O
, O
which O
were O
suppressed O
when O
the O
cells O
differentiated O
into O
postmitotic O
multinucleated O
myotubes O
. O

RNA O
blot O
hybridizations O
identified O
an O
1 O
. O
8 O
- O
kb O
mRNA O
common O
to O
cytochrome B
b6 I
and O
subunit O
IV O
, O
and O
an O
intensely O
hybridizing O
0 O
. O
8 O
- O
kb O
mRNA O
specific O
to O
the O
subunit O
IV O
gene O
probe O
. O

Mutational O
analysis O
of O
essential O
IncP O
alpha O
plasmid O
transfer O
genes O
traF B
and O
traG B
and O
involvement O
of O
traF B
in O
phage O
sensitivity O
. O

Value O
of O
the O
method O
of O
passive O
hemagglutination O
with O
polysaccharide O
C O
in O
detecting O
C B
- I
reactive I
protein I
as O
compared O
to O
precipitation O
in O
capillaries O
and O
slide O
latex O
test O
with O
anti B
- I
CRP I
serum O

The O
mechanism O
of O
the O
induction O
of O
3beta B
- I
HSD I
type I
1 I
gene I
expression O
was O
further O
characterized O
in O
ZR O
- O
75 O
- O
1 O
human O
breast O
cancer O
cells O
. O

These O
results O
further O
support O
an O
important O
role O
for O
CBF2 B
in O
mediating O
EBNA2 B
transactivation O
; O
they O
identify O
the O
hnRNP B
protein I
AUF1 I
as O
a O
major O
component O
of O
CBF2 B
and O
are O
also O
the O
first O
evidence O
of O
a O
cis O
- O
acting O
sequence O
other O
than O
a O
CBF1 B
binding I
element I
that O
is O
able O
to O
confer O
responsiveness O
to O
EBNA2 B
. O

HeLa O
and O
Jurkat O
cell O
lines O
carrying O
the O
nef B
gene I
linked O
to O
the O
CMV O
promoter O
or O
the O
HIV B
- I
1 I
LTR I
were O
isolated O
by O
coselection O
for O
neomycin O
resistance O
. O

Weak O
allergenicity O
of O
recombinant B
hirudin I
CGP I
39393 I
( O
REVASC O
) O
in O
immunocompetent O
volunteers O
. O

However O
, O
cotransfection O
studies O
indicate O
that O
RVR B
does O
not O
activate O
transcription O
when O
this O
hormone O
response O
element O
is O
linked O
to O
a O
reporter O
gene O
but O
rather O
acts O
as O
a O
potent O
competitive O
repressor O
of O
ROR B
alpha I
function O
. O

We O
demonstrate O
that O
Ddc1p B
interacts O
physically O
in O
vivo O
with O
Mec3p B
, O
and O
this O
interaction O
requires O
Rad17p B
. O

The O
regulation O
of O
PGHS B
- I
2 I
mRNA I
and O
protein O
was O
studied O
in O
primary O
cultures O
of O
bovine O
uterine O
stromal O
cells O
stimulated O
with O
phorbol O
12 O
- O
myristate O
13 O
- O
acetate O
( O
PMA O
; O
100 O
nM O
) O
. O

For O
the O
5HT5A B
receptor I
the O
addition O
of O
yohimbine O
resulted O
in O
a O
similar O
but O
smaller O
effect O
. O

On O
the O
other O
hand O
, O
the O
structures O
of O
the O
b O
- O
Zip O
domain O
are O
well O
conserved O
among O
these O
Maf B
- I
related I
proteins I
. O

