Transgenic O
mice O
carrying O
large O
human O
genomic O
sequences O
with O
expanded O
CTG O
repeat O
mimic O
closely O
the O
DM B
CTG O
repeat O
intergenerational O
and O
somatic O
instability O
. O

The O
observation O
of O
the O
same O
APC B
mutation O
in O
five O
families O
from O
the O
same O
geographic O
area O
demonstrates O
a O
founder O
effect O
. O

Constitutional O
mutations O
in O
the O
WT1 O
gene O
in O
patients O
with O
Denys B
- I
Drash I
syndrome I
. O

Twenty O
- O
two O
tumors B
had O
frameshift O
mutations O
due O
to O
deletion O
or O
insertion O
; O
nineteen O
of O
them O
were O
deletions O
of O
one O
to O
31 O
bp O
and O
three O
were O
a O
1 O
- O
bp O
insertion O
. O

The O
PAX6 O
gene O
is O
involved O
in O
ocular O
morphogenesis O
, O
and O
PAX6 O
mutations O
have O
been O
detected O
in O
various O
types O
of O
ocular B
anomalies I
, O
including O
aniridia B
, O
Peters B
anomaly I
, O
corneal B
dystrophy I
, O
congenital B
cataract I
, O
and O
foveal B
hypoplasia I
. O

